ID,Title,Compilable,Pass,Total Duration (s),Runtime (ms),Code BLEU,CodeBERT F1,Error
s1870_minimum_speed_to_arrive_on_time,Minimum Speed to Arrive on Time,Yes,Yes,20.03,44.0,0.3137,0.8479,
s1819_number_of_different_subsequences_gcds,Number of Different Subsequences GCDs,Yes,Yes,14.89,42.0,0.4587,0.8786,
s1897_redistribute_characters_to_make_all_strings_equal,Redistribute Characters to Make All Strings Equal,Yes,Yes,11.81,41.0,0.4875,0.9102,
s1848_minimum_distance_to_the_target_element,Minimum Distance to the Target Element,Yes,No,13.46,44.0,0.5991,0.9538,
s1801_number_of_orders_in_the_backlog,Number of Orders in the Backlog,No,No,25.87,0.0,0.346,0.8197,
s1887_reduction_operations_to_make_the_array_elements_equal,Reduction Operations to Make the Array Elements Equal,Yes,Yes,16.06,40.0,0.4131,0.8644,
s1896_minimum_cost_to_change_the_final_value_of_expression,Minimum Cost to Change the Final Value of Expression,No,No,33.39,0.0,0.332,0.7904,
s1856_maximum_subarray_min_product,Maximum Subarray Min-Product,Yes,No,16.62,46.0,0.2785,0.8524,
s1877_minimize_maximum_pair_sum_in_array,Minimize Maximum Pair Sum in Array,Yes,No,11.99,40.0,0.5719,0.8488,
s1850_minimum_adjacent_swaps_to_reach_the_kth_smallest_number,Minimum Adjacent Swaps to Reach the Kth Smallest Number,Yes,No,19.8,68.0,0.3111,0.8476,
s1846_maximum_element_after_decreasing_and_rearranging,Maximum Element After Decreasing and Rearranging,Yes,Yes,12.53,38.0,0.3924,0.9008,
s1813_sentence_similarity_iii,Sentence Similarity III,Yes,No,15.15,52.0,0.4509,0.9091,
s1822_sign_of_the_product_of_an_array,Sign of the Product of an Array,Yes,Yes,11.82,37.0,0.6709,0.9453,
s1900_the_earliest_and_latest_rounds_where_players_compete,The Earliest and Latest Rounds Where Players Compete,No,No,31.67,0.0,0.2401,0.7986,
s1830_minimum_number_of_operations_to_make_string_sorted,Minimum Number of Operations to Make String Sorted,Yes,No,16.41,57.0,0.2528,0.8082,
s1888_minimum_number_of_flips_to_make_the_binary_string_alternating,Minimum Number of Flips to Make the Binary String Alternating,Yes,Yes,16.93,45.0,0.3366,0.8455,
s1817_finding_the_users_active_minutes,Finding the Users Active Minutes,Yes,Yes,15.32,41.0,0.2946,0.773,
s1866_number_of_ways_to_rearrange_sticks_with_k_sticks_visible,Number of Ways to Rearrange Sticks With K Sticks Visible,Yes,No,24.38,50.0,0.3415,0.8015,
s1837_sum_of_digits_in_base_k,Sum of Digits in Base K,Yes,Yes,11.91,45.0,0.4359,0.9106,
s1864_minimum_number_of_swaps_to_make_the_binary_string_alternating,Minimum Number of Swaps to Make the Binary String Alternating,Yes,No,23.64,51.0,0.2598,0.8254,
s1847_closest_room,Closest Room,Yes,Yes,17.5,36.0,0.2744,0.8059,
s1816_truncate_sentence,Truncate Sentence,Yes,Yes,12.61,38.0,0.8285,0.9717,
s1869_longer_contiguous_segments_of_ones_than_zeros,Longer Contiguous Segments of Ones than Zeros,Yes,Yes,12.4,63.0,0.3842,0.8641,
s1814_count_nice_pairs_in_an_array,Count Nice Pairs in an Array,No,No,12.2,0.0,0.4368,0.8551,
s1859_sorting_the_sentence,Sorting the Sentence,Yes,Yes,16.8,42.0,0.5713,0.9316,
s1815_maximum_number_of_groups_getting_fresh_donuts,Maximum Number of Groups Getting Fresh Donuts,Yes,No,32.93,62.0,0.3191,0.7914,
s1872_stone_game_viii,Stone Game VIII,Yes,No,20.24,48.0,0.4014,0.8478,
s1827_minimum_operations_to_make_the_array_increasing,Minimum Operations to Make the Array Increasing,Yes,Yes,13.9,40.0,0.7326,0.9634,
s1876_substrings_of_size_three_with_distinct_characters,Substrings of Size Three with Distinct Characters,Yes,Yes,16.31,38.0,0.4823,0.883,
s1838_frequency_of_the_most_frequent_element,Frequency of the Most Frequent Element,Yes,Yes,14.47,40.0,0.2854,0.8741,
s1894_find_the_student_that_will_replace_the_chalk,Find the Student that Will Replace the Chalk,Yes,No,18.6,44.0,0.4408,0.8514,
s1840_maximum_building_height,Maximum Building Height,Yes,No,19.77,57.0,0.3288,0.8201,
s1833_maximum_ice_cream_bars,Maximum Ice Cream Bars,Yes,Yes,15.05,70.0,0.5619,0.9477,
s1851_minimum_interval_to_include_each_query,Minimum Interval to Include Each Query,Yes,No,19.9,44.0,0.4243,0.8112,
s1854_maximum_population_year,Maximum Population Year,Yes,Yes,17.87,34.0,0.3748,0.8686,
s1828_queries_on_number_of_points_inside_a_circle,Queries on Number of Points Inside a Circle,Yes,Yes,17.03,35.0,0.4048,0.8857,
s1844_replace_all_digits_with_characters,Replace All Digits with Characters,Yes,Yes,13.28,62.0,0.4119,0.8832,
s1807_evaluate_the_bracket_pairs_of_a_string,Evaluate the Bracket Pairs of a String,Yes,Yes,17.11,38.0,0.5979,0.8538,
s1861_rotating_the_box,Rotating the Box,Yes,No,15.13,56.0,0.4328,0.8318,
