ID,Title,N_Samples,Pass_At_1_Attempt,Num_Passed,Compilable_Count,Compilable_Rate,First_Pass_Attempt,Avg_Code_BLEU,Avg_CodeBERT_F1,First_Pass_Code_BLEU,First_Pass_CodeBERT_F1
s0874_walking_robot_simulation,Walking Robot Simulation,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0840_magic_squares_in_grid,Magic Squares In Grid,5,1,4,1,1.0000,0,0.3775,0.8620,0.3775,0.8620
s0832_flipping_an_image,Flipping an Image,5,1,5,1,1.0000,0,0.3281,0.8491,0.3281,0.8491
s0827_making_a_large_island,Making A Large Island,5,1,3,1,1.0000,0,0.2495,0.8258,0.2495,0.8258
s0853_car_fleet,Car Fleet,5,1,2,1,1.0000,0,0.3259,0.8702,0.3259,0.8702
s0821_shortest_distance_to_a_character,Shortest Distance to a Character,5,0,1,1,1.0000,3,0.3559,0.8860,0.3559,0.8860
s0878_nth_magical_number,Nth Magical Number,5,1,5,1,1.0000,0,0.3602,0.8137,0.3602,0.8137
s0879_profitable_schemes,Profitable Schemes,5,1,3,1,1.0000,0,0.4260,0.8541,0.4260,0.8541
s0831_masking_personal_information,Masking Personal Information,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0849_maximize_distance_to_closest_person,Maximize Distance to Closest Person,5,1,2,1,1.0000,0,0.3138,0.7840,0.3138,0.7840
s0867_transpose_matrix,Transpose Matrix,5,1,5,1,1.0000,0,0.4261,0.8067,0.4261,0.8067
s0888_fair_candy_swap,Fair Candy Swap,5,0,3,1,1.0000,1,0.4408,0.8886,0.4408,0.8886
s0808_soup_servings,Soup Servings,5,1,5,1,1.0000,0,0.3760,0.8654,0.3760,0.8654
s0884_uncommon_words_from_two_sentences,Uncommon Words from Two Sentences,5,1,5,1,1.0000,0,0.6660,0.8833,0.6660,0.8833
s0837_new_21_game,New 21 Game,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0890_find_and_replace_pattern,Find and Replace Pattern,5,1,4,1,1.0000,0,0.4016,0.8547,0.4016,0.8547
s0846_hand_of_straights,Hand of Straights,5,1,4,1,1.0000,0,0.5034,0.9182,0.5034,0.9182
s0820_short_encoding_of_words,Short Encoding of Words,5,1,5,1,1.0000,0,0.2466,0.8177,0.2466,0.8177
s0845_longest_mountain_in_array,Longest Mountain in Array,5,1,5,1,1.0000,0,0.4729,0.8335,0.4729,0.8335
s0816_ambiguous_coordinates,Ambiguous Coordinates,5,0,2,1,1.0000,1,0.1688,0.7963,0.1688,0.7963
s0862_shortest_subarray_with_sum_at_least_k,Shortest Subarray with Sum at Least K,5,0,4,1,1.0000,1,0.3995,0.8214,0.3995,0.8214
s0806_number_of_lines_to_write_string,Number of Lines To Write String,5,1,5,1,1.0000,0,0.3359,0.8239,0.3359,0.8239
s0803_bricks_falling_when_hit,Bricks Falling When Hit,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0833_find_and_replace_in_string,Find And Replace in String,5,1,5,1,1.0000,0,0.4554,0.8537,0.4554,0.8537
s0810_chalkboard_xor_game,Chalkboard XOR Game,5,0,2,1,1.0000,2,0.6954,0.9782,0.6954,0.9782
s0892_surface_area_of_3d_shapes,Surface Area of 3D Shapes,5,1,3,1,1.0000,0,0.3840,0.8400,0.3840,0.8400
s0865_smallest_subtree_with_all_the_deepest_nodes,Smallest Subtree with all the Deepest Nodes,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0885_spiral_matrix_iii,Spiral Matrix III,5,0,1,0,0.0000,2,0.1702,0.7883,0.1702,0.7883
s0838_push_dominoes,Push Dominoes,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0844_backspace_string_compare,Backspace String Compare,5,1,5,1,1.0000,0,0.4038,0.8002,0.4038,0.8002
s0817_linked_list_components,Linked List Components,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0877_stone_game,Stone Game,5,1,4,1,1.0000,0,0.3761,0.7567,0.3761,0.7567
s0872_leaf_similar_trees,Leaf-Similar Trees,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0898_bitwise_ors_of_subarrays,Bitwise ORs of Subarrays,5,1,5,1,1.0000,0,0.4730,0.9001,0.4730,0.9001
s0871_minimum_number_of_refueling_stops,Minimum Number of Refueling Stops,5,1,1,1,1.0000,0,0.4692,0.9052,0.4692,0.9052
s0881_boats_to_save_people,Boats to Save People,5,1,5,1,1.0000,0,0.6130,0.9587,0.6130,0.9587
s0886_possible_bipartition,Possible Bipartition,5,1,4,1,1.0000,0,0.3454,0.8318,0.3454,0.8318
s0829_consecutive_numbers_sum,Consecutive Numbers Sum,5,1,5,1,1.0000,0,0.4180,0.8063,0.4180,0.8063
s0826_most_profit_assigning_work,Most Profit Assigning Work,5,1,4,1,1.0000,0,0.4848,0.8653,0.4848,0.8653
s0883_projection_area_of_3d_shapes,Projection Area of 3D Shapes,5,1,5,1,1.0000,0,0.4444,0.7797,0.4444,0.7797
s0807_max_increase_to_keep_city_skyline,Max Increase to Keep City Skyline,5,1,5,1,1.0000,0,0.3535,0.8228,0.3535,0.8228
s0860_lemonade_change,Lemonade Change,5,1,5,1,1.0000,0,0.7346,0.9419,0.7346,0.9419
s0897_increasing_order_search_tree,Increasing Order Search Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0824_goat_latin,Goat Latin,5,1,4,1,1.0000,0,0.3781,0.8172,0.3781,0.8172
s0869_reordered_power_of_2,Reordered Power of 2,5,1,5,1,1.0000,0,0.3102,0.8145,0.3102,0.8145
s0899_orderly_queue,Orderly Queue,5,0,3,1,1.0000,1,0.3836,0.9006,0.3836,0.9006
s0812_largest_triangle_area,Largest Triangle Area,5,1,5,1,1.0000,0,0.4600,0.8467,0.4600,0.8467
s0852_peak_index_in_a_mountain_array,Peak Index in a Mountain Array,5,1,5,1,1.0000,0,0.8330,0.9531,0.8330,0.9531
s0809_expressive_words,Expressive Words,5,1,4,1,1.0000,0,0.4251,0.8223,0.4251,0.8223
s0866_prime_palindrome,Prime Palindrome,5,1,5,1,1.0000,0,0.2701,0.8390,0.2701,0.8390
s0854_k_similar_strings,K-Similar Strings,5,1,5,1,1.0000,0,0.3547,0.8321,0.3547,0.8321
s0801_minimum_swaps_to_make_sequences_increasing,Minimum Swaps To Make Sequences Increasing,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
