model_name,id,title,pass,pass_at_1,pass_at_k,compilable,repair_rounds,code_bleu,code_bert_f1
llama3.3:70b,s0840_magic_squares_in_grid,Magic Squares In Grid,True,1.0,1.0,True,0,0.3775,0.862
llama3.3:70b,s0827_making_a_large_island,Making A Large Island,True,1.0,1.0,True,0,0.2495,0.8258
llama3.3:70b,s0832_flipping_an_image,Flipping an Image,True,1.0,1.0,True,0,0.3245,0.8491
llama3.3:70b,s0853_car_fleet,Car Fleet,True,1.0,1.0,True,0,0.3542,0.8291
llama3.3:70b,s0878_nth_magical_number,Nth Magical Number,True,1.0,1.0,True,0,0.3602,0.8137
llama3.3:70b,s0821_shortest_distance_to_a_character,Shortest Distance to a Character,True,0.0,1.0,True,2,0.3797,0.8343
llama3.3:70b,s0874_walking_robot_simulation,Walking Robot Simulation,False,0.0,0.0,True,4,0.0,0.0
llama3.3:70b,s0849_maximize_distance_to_closest_person,Maximize Distance to Closest Person,True,1.0,1.0,True,0,0.3138,0.784
llama3.3:70b,s0867_transpose_matrix,Transpose Matrix,True,1.0,1.0,True,0,0.4032,0.79
llama3.3:70b,s0879_profitable_schemes,Profitable Schemes,False,0.0,0.0,True,4,0.0,0.0
llama3.3:70b,s0888_fair_candy_swap,Fair Candy Swap,True,1.0,1.0,True,0,0.4423,0.8915
llama3.3:70b,s0808_soup_servings,Soup Servings,True,1.0,1.0,True,0,0.376,0.8654
llama3.3:70b,s0884_uncommon_words_from_two_sentences,Uncommon Words from Two Sentences,True,1.0,1.0,True,0,0.6741,0.8896
llama3.3:70b,s0890_find_and_replace_pattern,Find and Replace Pattern,True,1.0,1.0,True,0,0.4016,0.8547
llama3.3:70b,s0846_hand_of_straights,Hand of Straights,True,1.0,1.0,True,0,0.5034,0.9182
llama3.3:70b,s0820_short_encoding_of_words,Short Encoding of Words,True,1.0,1.0,True,0,0.2466,0.8177
llama3.3:70b,s0831_masking_personal_information,Masking Personal Information,True,0.0,1.0,True,4,0.3435,0.7929
llama3.3:70b,s0845_longest_mountain_in_array,Longest Mountain in Array,True,1.0,1.0,True,0,0.4706,0.8328
llama3.3:70b,s0862_shortest_subarray_with_sum_at_least_k,Shortest Subarray with Sum at Least K,True,1.0,1.0,True,0,0.5277,0.9023
llama3.3:70b,s0837_new_21_game,New 21 Game,True,0.0,1.0,True,4,0.4938,0.8316
llama3.3:70b,s0806_number_of_lines_to_write_string,Number of Lines To Write String,True,1.0,1.0,True,0,0.3359,0.8239
