ID,Title,N_Samples,Pass_At_1_Attempt,Num_Passed,Compilable_Count,Compilable_Rate,First_Pass_Attempt,Avg_Code_BLEU,Avg_CodeBERT_F1,First_Pass_Code_BLEU,First_Pass_CodeBERT_F1
s0874_walking_robot_simulation,Walking Robot Simulation,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0840_magic_squares_in_grid,Magic Squares In Grid,5,1,5,1,1.0000,0,0.3613,0.8210,0.3613,0.8210
s0832_flipping_an_image,Flipping an Image,5,1,5,1,1.0000,0,0.3322,0.8626,0.3322,0.8626
s0827_making_a_large_island,Making A Large Island,5,1,4,1,1.0000,0,0.2601,0.8195,0.2601,0.8195
s0853_car_fleet,Car Fleet,5,1,5,1,1.0000,0,0.3747,0.8353,0.3747,0.8353
s0821_shortest_distance_to_a_character,Shortest Distance to a Character,5,1,3,1,1.0000,0,0.3735,0.9028,0.3735,0.9028
s0878_nth_magical_number,Nth Magical Number,5,1,5,1,1.0000,0,0.4302,0.8907,0.4302,0.8907
s0879_profitable_schemes,Profitable Schemes,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0849_maximize_distance_to_closest_person,Maximize Distance to Closest Person,5,1,5,1,1.0000,0,0.2947,0.8419,0.2947,0.8419
s0831_masking_personal_information,Masking Personal Information,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0867_transpose_matrix,Transpose Matrix,5,1,5,1,1.0000,0,0.5489,0.9278,0.5489,0.9278
s0888_fair_candy_swap,Fair Candy Swap,5,1,5,1,1.0000,0,0.3807,0.8385,0.3807,0.8385
s0884_uncommon_words_from_two_sentences,Uncommon Words from Two Sentences,5,1,5,1,1.0000,0,0.6988,0.9284,0.6988,0.9284
s0837_new_21_game,New 21 Game,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0890_find_and_replace_pattern,Find and Replace Pattern,5,1,5,1,1.0000,0,0.4251,0.8509,0.4251,0.8509
s0846_hand_of_straights,Hand of Straights,5,1,5,1,1.0000,0,0.4907,0.9056,0.4907,0.9056
s0808_soup_servings,Soup Servings,5,0,3,0,0.0000,1,0.3963,0.8652,0.3963,0.8652
s0820_short_encoding_of_words,Short Encoding of Words,5,1,5,1,1.0000,0,0.2663,0.8163,0.2663,0.8163
s0845_longest_mountain_in_array,Longest Mountain in Array,5,1,5,1,1.0000,0,0.3910,0.8576,0.3910,0.8576
s0816_ambiguous_coordinates,Ambiguous Coordinates,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0862_shortest_subarray_with_sum_at_least_k,Shortest Subarray with Sum at Least K,5,1,5,1,1.0000,0,0.4831,0.8992,0.4831,0.8992
s0806_number_of_lines_to_write_string,Number of Lines To Write String,5,1,5,1,1.0000,0,0.3224,0.8866,0.3224,0.8866
s0803_bricks_falling_when_hit,Bricks Falling When Hit,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0833_find_and_replace_in_string,Find And Replace in String,5,1,3,1,1.0000,0,0.3755,0.8146,0.3755,0.8146
s0810_chalkboard_xor_game,Chalkboard XOR Game,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0892_surface_area_of_3d_shapes,Surface Area of 3D Shapes,5,0,2,1,1.0000,1,0.4122,0.9095,0.4122,0.9095
s0885_spiral_matrix_iii,Spiral Matrix III,5,0,1,1,1.0000,3,0.1895,0.8338,0.1895,0.8338
s0865_smallest_subtree_with_all_the_deepest_nodes,Smallest Subtree with all the Deepest Nodes,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0838_push_dominoes,Push Dominoes,5,0,1,1,1.0000,1,0.2625,0.8365,0.2625,0.8365
s0844_backspace_string_compare,Backspace String Compare,5,1,5,1,1.0000,0,0.4654,0.9058,0.4654,0.9058
s0817_linked_list_components,Linked List Components,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0877_stone_game,Stone Game,5,1,5,1,1.0000,0,0.4375,0.8516,0.4375,0.8516
s0898_bitwise_ors_of_subarrays,Bitwise ORs of Subarrays,5,1,5,1,1.0000,0,0.5141,0.8431,0.5141,0.8431
s0872_leaf_similar_trees,Leaf-Similar Trees,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0871_minimum_number_of_refueling_stops,Minimum Number of Refueling Stops,5,1,5,1,1.0000,0,0.4694,0.8487,0.4694,0.8487
s0881_boats_to_save_people,Boats to Save People,5,1,5,1,1.0000,0,0.6646,0.9571,0.6646,0.9571
s0886_possible_bipartition,Possible Bipartition,5,1,5,1,1.0000,0,0.3265,0.8044,0.3265,0.8044
s0829_consecutive_numbers_sum,Consecutive Numbers Sum,5,1,5,1,1.0000,0,0.5088,0.9153,0.5088,0.9153
s0883_projection_area_of_3d_shapes,Projection Area of 3D Shapes,5,1,5,1,1.0000,0,0.4806,0.8592,0.4806,0.8592
s0826_most_profit_assigning_work,Most Profit Assigning Work,5,0,4,1,1.0000,1,0.4893,0.8724,0.4893,0.8724
s0807_max_increase_to_keep_city_skyline,Max Increase to Keep City Skyline,5,1,5,1,1.0000,0,0.3914,0.8840,0.3914,0.8840
s0860_lemonade_change,Lemonade Change,5,1,5,1,1.0000,0,0.7734,0.9564,0.7734,0.9564
s0897_increasing_order_search_tree,Increasing Order Search Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0824_goat_latin,Goat Latin,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0869_reordered_power_of_2,Reordered Power of 2,5,1,5,1,1.0000,0,0.3088,0.8164,0.3088,0.8164
s0899_orderly_queue,Orderly Queue,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0812_largest_triangle_area,Largest Triangle Area,5,1,5,1,1.0000,0,0.4673,0.9037,0.4673,0.9037
s0852_peak_index_in_a_mountain_array,Peak Index in a Mountain Array,5,1,5,1,1.0000,0,0.5703,0.9243,0.5703,0.9243
s0809_expressive_words,Expressive Words,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0866_prime_palindrome,Prime Palindrome,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0854_k_similar_strings,K-Similar Strings,5,0,3,1,1.0000,1,0.3059,0.8036,0.3059,0.8036
s0876_middle_of_the_linked_list,Middle of the Linked List,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0801_minimum_swaps_to_make_sequences_increasing,Minimum Swaps To Make Sequences Increasing,5,0,1,1,1.0000,1,0.5264,0.9029,0.5264,0.9029
s0848_shifting_letters,Shifting Letters,5,1,4,1,1.0000,0,0.5024,0.8935,0.5024,0.8935
s0875_koko_eating_bananas,Koko Eating Bananas,5,1,5,1,1.0000,0,0.3658,0.8729,0.3658,0.8729
s0839_similar_string_groups,Similar String Groups,5,1,5,1,1.0000,0,0.3842,0.8173,0.3842,0.8173
s0828_count_unique_characters_of_all_substrings_of_a_given_string,Count Unique Characters of All Substrings of a Given String,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0893_groups_of_special_equivalent_strings,Groups of Special-Equivalent Strings,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0861_score_after_flipping_matrix,Score After Flipping Matrix,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0811_subdomain_visit_count,Subdomain Visit Count,5,1,3,1,1.0000,0,0.3468,0.8061,0.3468,0.8061
s0834_sum_of_distances_in_tree,Sum of Distances in Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0850_rectangle_area_ii,Rectangle Area II,5,0,2,1,1.0000,2,0.2991,0.7607,0.2991,0.7607
s0863_all_nodes_distance_k_in_binary_tree,All Nodes Distance K in Binary Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0830_positions_of_large_groups,Positions of Large Groups,5,1,5,1,1.0000,0,0.4702,0.8381,0.4702,0.8381
s0859_buddy_strings,Buddy Strings,5,1,5,1,1.0000,0,0.4440,0.8872,0.4440,0.8872
s0835_image_overlap,Image Overlap,5,0,2,1,1.0000,2,0.2616,0.8390,0.2616,0.8390
s0804_unique_morse_code_words,Unique Morse Code Words,5,0,4,0,0.0000,1,0.6988,0.8639,0.6988,0.8639
s0870_advantage_shuffle,Advantage Shuffle,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2381_shifting_letters_ii,Shifting Letters II,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0814_binary_tree_pruning,Binary Tree Pruning,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2318_number_of_distinct_roll_sequences,Number of Distinct Roll Sequences,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2400_number_of_ways_to_reach_a_position_after_exactly_k_steps,Number of Ways to Reach a Position After Exactly k Steps,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2315_count_asterisks,Count Asterisks,5,1,5,1,1.0000,0,0.5382,0.9124,0.5382,0.9124
s2365_task_scheduler_ii,Task Scheduler II,5,0,2,0,0.0000,1,0.4664,0.9008,0.4664,0.9008
s2354_number_of_excellent_pairs,Number of Excellent Pairs,5,1,5,1,1.0000,0,0.4137,0.7731,0.4137,0.7731
s2304_minimum_path_cost_in_a_grid,Minimum Path Cost in a Grid,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2364_count_number_of_bad_pairs,Count Number of Bad Pairs,5,1,5,1,1.0000,0,0.4833,0.9001,0.4833,0.9001
s2342_max_sum_of_a_pair_with_equal_sum_of_digits,Max Sum of a Pair With Equal Sum of Digits,5,1,5,1,1.0000,0,0.5727,0.8225,0.5727,0.8225
s2352_equal_row_and_column_pairs,Equal Row and Column Pairs,5,0,3,1,1.0000,1,0.3682,0.8653,0.3682,0.8653
s2385_amount_of_time_for_binary_tree_to_be_infected,Amount of Time for Binary Tree to Be Infected,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2350_shortest_impossible_sequence_of_rolls,Shortest Impossible Sequence of Rolls,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2316_count_unreachable_pairs_of_nodes_in_an_undirected_graph,Count Unreachable Pairs of Nodes in an Undirected Graph,5,1,4,1,1.0000,0,0.3290,0.8279,0.3290,0.8279
s2398_maximum_number_of_robots_within_budget,Maximum Number of Robots Within Budget,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2359_find_closest_node_to_given_two_nodes,Find Closest Node to Given Two Nodes,5,1,5,1,1.0000,0,0.4158,0.8632,0.4158,0.8632
s2301_match_substring_after_replacement,Match Substring After Replacement,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2327_number_of_people_aware_of_a_secret,Number of People Aware of a Secret,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2337_move_pieces_to_obtain_a_string,Move Pieces to Obtain a String,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2366_minimum_replacements_to_sort_the_array,Minimum Replacements to Sort the Array,5,1,5,1,1.0000,0,0.4626,0.9370,0.4626,0.9370
s2383_minimum_hours_of_training_to_win_a_competition,Minimum Hours of Training to Win a Competition,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2321_maximum_score_of_spliced_array,Maximum Score Of Spliced Array,5,1,3,1,1.0000,0,0.2658,0.8313,0.2658,0.8313
s2305_fair_distribution_of_cookies,Fair Distribution of Cookies,5,1,4,1,1.0000,0,0.4682,0.8717,0.4682,0.8717
s2326_spiral_matrix_iv,Spiral Matrix IV,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2399_check_distances_between_same_letters,Check Distances Between Same Letters,5,1,5,1,1.0000,0,0.5342,0.8888,0.5342,0.8888
s2391_minimum_amount_of_time_to_collect_garbage,Minimum Amount of Time to Collect Garbage,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2334_subarray_with_elements_greater_than_varying_threshold,Subarray With Elements Greater Than Varying Threshold,5,1,3,1,1.0000,0,0.3271,0.8538,0.3271,0.8538
s2380_time_needed_to_rearrange_a_binary_string,Time Needed to Rearrange a Binary String,5,1,5,1,1.0000,0,0.3016,0.8225,0.3016,0.8225
s2396_strictly_palindromic_number,Strictly Palindromic Number,5,1,5,1,1.0000,0,0.5065,0.8926,0.5065,0.8926
s2367_number_of_arithmetic_triplets,Number of Arithmetic Triplets,5,1,5,1,1.0000,0,0.5227,0.8421,0.5227,0.8421
s2348_number_of_zero_filled_subarrays,Number of Zero-Filled Subarrays,5,1,5,1,1.0000,0,0.6463,0.9588,0.6463,0.9588
s2328_number_of_increasing_paths_in_a_grid,Number of Increasing Paths in a Grid,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2386_find_the_k_sum_of_an_array,Find the K-Sum of an Array,5,1,5,1,1.0000,0,0.2046,0.7961,0.2046,0.7961
s2376_count_special_integers,Count Special Integers,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2374_node_with_highest_edge_score,Node With Highest Edge Score,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2395_find_subarrays_with_equal_sum,Find Subarrays With Equal Sum,5,1,5,1,1.0000,0,0.7376,0.9555,0.7376,0.9555
s2357_make_array_zero_by_subtracting_equal_amounts,Make Array Zero by Subtracting Equal Amounts,5,1,4,1,1.0000,0,0.4634,0.7651,0.4634,0.7651
s2306_naming_a_company,Naming a Company,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2302_count_subarrays_with_score_less_than_k,Count Subarrays With Score Less Than K,5,1,5,1,1.0000,0,0.5535,0.9445,0.5535,0.9445
s2344_minimum_deletions_to_make_array_divisible,Minimum Deletions to Make Array Divisible,5,0,2,1,1.0000,1,0.3609,0.8456,0.3609,0.8456
s2322_minimum_score_after_removals_on_a_tree,Minimum Score After Removals on a Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2382_maximum_segment_sum_after_removals,Maximum Segment Sum After Removals,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2384_largest_palindromic_number,Largest Palindromic Number,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2370_longest_ideal_subsequence,Longest Ideal Subsequence,5,1,5,1,1.0000,0,0.3189,0.8425,0.3189,0.8425
s2335_minimum_amount_of_time_to_fill_cups,Minimum Amount of Time to Fill Cups,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2338_count_the_number_of_ideal_arrays,Count the Number of Ideal Arrays,5,1,5,1,1.0000,0,0.3122,0.8253,0.3122,0.8253
s2369_check_if_there_is_a_valid_partition_for_the_array,Check if There is a Valid Partition For The Array,5,1,5,1,1.0000,0,0.3111,0.8523,0.3111,0.8523
s2358_maximum_number_of_groups_entering_a_competition,Maximum Number of Groups Entering a Competition,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2325_decode_the_message,Decode the Message,5,1,5,1,1.0000,0,0.4276,0.8319,0.4276,0.8319
s2309_greatest_english_letter_in_upper_and_lower_case,Greatest English Letter in Upper and Lower Case,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2351_first_letter_to_appear_twice,First Letter to Appear Twice,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2360_longest_cycle_in_a_graph,Longest Cycle in a Graph,5,0,2,1,1.0000,2,0.3484,0.8601,0.3484,0.8601
s2347_best_poker_hand,Best Poker Hand,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2331_evaluate_boolean_binary_tree,Evaluate Boolean Binary Tree,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2390_removing_stars_from_a_string,Removing Stars From a String,5,1,5,1,1.0000,0,0.3806,0.8740,0.3806,0.8740
s2333_minimum_sum_of_squared_difference,Minimum Sum of Squared Difference,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2303_calculate_amount_paid_in_taxes,Calculate Amount Paid in Taxes,5,1,5,1,1.0000,0,0.5396,0.8907,0.5396,0.8907
s2319_check_if_matrix_is_x_matrix,Check if Matrix Is X-Matrix,5,1,5,1,1.0000,0,0.7362,0.9765,0.7362,0.9765
s2397_maximum_rows_covered_by_columns,Maximum Rows Covered by Columns,5,1,2,1,1.0000,0,0.3535,0.8264,0.3535,0.8264
s2363_merge_similar_items,Merge Similar Items,5,1,5,1,1.0000,0,0.4525,0.8081,0.4525,0.8081
s2312_selling_pieces_of_wood,Selling Pieces of Wood,5,1,5,1,1.0000,0,0.3182,0.7914,0.3182,0.7914
s2379_minimum_recolors_to_get_k_consecutive_black_blocks,Minimum Recolors to Get K Consecutive Black Blocks,5,1,5,1,1.0000,0,0.5559,0.9209,0.5559,0.9209
s2317_maximum_xor_after_operations,Maximum XOR After Operations,5,1,5,1,1.0000,0,0.8261,0.9796,0.8261,0.9796
s2392_build_a_matrix_with_conditions,Build a Matrix With Conditions,5,1,5,1,1.0000,0,0.4592,0.8294,0.4592,0.8294
s2373_largest_local_values_in_a_matrix,Largest Local Values in a Matrix,5,1,5,1,1.0000,0,0.7210,0.9509,0.7210,0.9509
s2341_maximum_number_of_pairs_in_array,Maximum Number of Pairs in Array,5,1,5,1,1.0000,0,0.3754,0.8696,0.3754,0.8696
s2375_construct_smallest_number_from_di_string,Construct Smallest Number From DI String,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2310_sum_of_numbers_with_units_digit_k,Sum of Numbers With Units Digit K,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2343_query_kth_smallest_trimmed_number,Query Kth Smallest Trimmed Number,5,1,5,1,1.0000,0,0.2704,0.7648,0.2704,0.7648
s2320_count_number_of_ways_to_place_houses,Count Number of Ways to Place Houses,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2368_reachable_nodes_with_restrictions,Reachable Nodes With Restrictions,5,1,5,1,1.0000,0,0.5052,0.8338,0.5052,0.8338
s2311_longest_binary_subsequence_less_than_or_equal_to_k,Longest Binary Subsequence Less Than or Equal to K,5,1,4,1,1.0000,0,0.5652,0.9252,0.5652,0.9252
s2389_longest_subsequence_with_limited_sum,Longest Subsequence With Limited Sum,5,0,2,1,1.0000,1,0.5129,0.8884,0.5129,0.8884
s2442_count_number_of_distinct_integers_after_reverse_operations,Count Number of Distinct Integers After Reverse Operations,5,1,5,1,1.0000,0,0.6133,0.9482,0.6133,0.9482
s2332_the_latest_time_to_catch_a_bus,The Latest Time to Catch a Bus,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s2488_count_subarrays_with_median_k,Count Subarrays With Median K,5,1,5,1,1.0000,0,0.2842,0.8268,0.2842,0.8268
