model_name,id,title,pass,pass_at_1,pass_at_k,compilable,repair_rounds,code_bleu,code_bert_f1
gemma3:12b,s0840_magic_squares_in_grid,Magic Squares In Grid,True,1.0,1.0,True,0,0.2741,0.8098
gemma3:12b,s0827_making_a_large_island,Making A Large Island,True,1.0,1.0,True,0,0.273,0.7928
gemma3:12b,s0832_flipping_an_image,Flipping an Image,True,1.0,1.0,True,0,0.3187,0.7991
gemma3:12b,s0821_shortest_distance_to_a_character,Shortest Distance to a Character,True,1.0,1.0,True,0,0.3467,0.8455
gemma3:12b,s0878_nth_magical_number,Nth Magical Number,True,1.0,1.0,True,0,0.4429,0.8403
gemma3:12b,s0874_walking_robot_simulation,Walking Robot Simulation,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0853_car_fleet,Car Fleet,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0849_maximize_distance_to_closest_person,Maximize Distance to Closest Person,True,1.0,1.0,True,0,0.2717,0.8072
gemma3:12b,s0867_transpose_matrix,Transpose Matrix,True,1.0,1.0,True,0,0.4848,0.8381
gemma3:12b,s0888_fair_candy_swap,Fair Candy Swap,True,1.0,1.0,True,0,0.4646,0.8928
gemma3:12b,s0879_profitable_schemes,Profitable Schemes,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0884_uncommon_words_from_two_sentences,Uncommon Words from Two Sentences,True,1.0,1.0,True,0,0.6616,0.8983
gemma3:12b,s0831_masking_personal_information,Masking Personal Information,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0890_find_and_replace_pattern,Find and Replace Pattern,True,1.0,1.0,True,0,0.4114,0.7957
gemma3:12b,s0808_soup_servings,Soup Servings,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0846_hand_of_straights,Hand of Straights,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0845_longest_mountain_in_array,Longest Mountain in Array,True,1.0,1.0,True,0,0.4977,0.8399
gemma3:12b,s0820_short_encoding_of_words,Short Encoding of Words,True,0.0,1.0,True,3,0.2465,0.7511
gemma3:12b,s0862_shortest_subarray_with_sum_at_least_k,Shortest Subarray with Sum at Least K,True,1.0,1.0,True,0,0.4242,0.828
gemma3:12b,s0837_new_21_game,New 21 Game,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0806_number_of_lines_to_write_string,Number of Lines To Write String,True,1.0,1.0,True,0,0.3175,0.8227
gemma3:12b,s0816_ambiguous_coordinates,Ambiguous Coordinates,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0833_find_and_replace_in_string,Find And Replace in String,True,0.0,1.0,True,2,0.5275,0.8233
gemma3:12b,s0803_bricks_falling_when_hit,Bricks Falling When Hit,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0810_chalkboard_xor_game,Chalkboard XOR Game,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0892_surface_area_of_3d_shapes,Surface Area of 3D Shapes,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0838_push_dominoes,Push Dominoes,True,1.0,1.0,True,0,0.2375,0.79
gemma3:12b,s0844_backspace_string_compare,Backspace String Compare,True,1.0,1.0,True,0,0.4038,0.8002
gemma3:12b,s0865_smallest_subtree_with_all_the_deepest_nodes,Smallest Subtree with all the Deepest Nodes,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0877_stone_game,Stone Game,True,1.0,1.0,True,0,0.3768,0.7609
gemma3:12b,s0898_bitwise_ors_of_subarrays,Bitwise ORs of Subarrays,True,1.0,1.0,True,0,0.5786,0.9427
gemma3:12b,s0817_linked_list_components,Linked List Components,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0871_minimum_number_of_refueling_stops,Minimum Number of Refueling Stops,True,1.0,1.0,True,0,0.5275,0.9226
gemma3:12b,s0881_boats_to_save_people,Boats to Save People,True,1.0,1.0,True,0,0.6011,0.8658
gemma3:12b,s0886_possible_bipartition,Possible Bipartition,True,1.0,1.0,True,0,0.3265,0.8054
gemma3:12b,s0885_spiral_matrix_iii,Spiral Matrix III,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0872_leaf_similar_trees,Leaf-Similar Trees,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0826_most_profit_assigning_work,Most Profit Assigning Work,True,1.0,1.0,True,0,0.4263,0.7864
gemma3:12b,s0807_max_increase_to_keep_city_skyline,Max Increase to Keep City Skyline,True,1.0,1.0,True,0,0.3502,0.8276
gemma3:12b,s0829_consecutive_numbers_sum,Consecutive Numbers Sum,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0883_projection_area_of_3d_shapes,Projection Area of 3D Shapes,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0860_lemonade_change,Lemonade Change,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0869_reordered_power_of_2,Reordered Power of 2,True,1.0,1.0,True,0,0.3474,0.792
gemma3:12b,s0897_increasing_order_search_tree,Increasing Order Search Tree,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0812_largest_triangle_area,Largest Triangle Area,True,1.0,1.0,True,0,0.4023,0.8295
gemma3:12b,s0852_peak_index_in_a_mountain_array,Peak Index in a Mountain Array,True,1.0,1.0,True,0,0.4893,0.8147
gemma3:12b,s0824_goat_latin,Goat Latin,True,0.0,1.0,True,3,0.4893,0.8012
gemma3:12b,s0899_orderly_queue,Orderly Queue,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0854_k_similar_strings,K-Similar Strings,True,1.0,1.0,True,0,0.3269,0.7903
gemma3:12b,s0809_expressive_words,Expressive Words,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0866_prime_palindrome,Prime Palindrome,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0801_minimum_swaps_to_make_sequences_increasing,Minimum Swaps To Make Sequences Increasing,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0839_similar_string_groups,Similar String Groups,True,1.0,1.0,True,0,0.3819,0.8634
gemma3:12b,s0848_shifting_letters,Shifting Letters,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0876_middle_of_the_linked_list,Middle of the Linked List,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0828_count_unique_characters_of_all_substrings_of_a_given_string,Count Unique Characters of All Substrings of a Given String,True,1.0,1.0,True,0,0.1719,0.736
gemma3:12b,s0875_koko_eating_bananas,Koko Eating Bananas,True,0.0,1.0,True,3,0.3904,0.8039
gemma3:12b,s0893_groups_of_special_equivalent_strings,Groups of Special-Equivalent Strings,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0861_score_after_flipping_matrix,Score After Flipping Matrix,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0811_subdomain_visit_count,Subdomain Visit Count,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0804_unique_morse_code_words,Unique Morse Code Words,True,1.0,1.0,True,0,0.606,0.848
gemma3:12b,s0850_rectangle_area_ii,Rectangle Area II,True,0.0,1.0,True,4,0.2862,0.7724
gemma3:12b,s0834_sum_of_distances_in_tree,Sum of Distances in Tree,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0830_positions_of_large_groups,Positions of Large Groups,True,1.0,1.0,True,0,0.5594,0.8746
gemma3:12b,s0859_buddy_strings,Buddy Strings,True,1.0,1.0,True,0,0.3795,0.8153
gemma3:12b,s0863_all_nodes_distance_k_in_binary_tree,All Nodes Distance K in Binary Tree,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s0835_image_overlap,Image Overlap,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s0814_binary_tree_pruning,Binary Tree Pruning,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s2381_shifting_letters_ii,Shifting Letters II,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2400_number_of_ways_to_reach_a_position_after_exactly_k_steps,Number of Ways to Reach a Position After Exactly k Steps,True,0.0,1.0,True,1,0.3563,0.8705
gemma3:12b,s0870_advantage_shuffle,Advantage Shuffle,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s2315_count_asterisks,Count Asterisks,True,1.0,1.0,True,0,0.3455,0.7893
gemma3:12b,s2354_number_of_excellent_pairs,Number of Excellent Pairs,True,1.0,1.0,True,0,0.4148,0.8039
gemma3:12b,s2365_task_scheduler_ii,Task Scheduler II,True,1.0,1.0,True,0,0.4569,0.832
gemma3:12b,s2304_minimum_path_cost_in_a_grid,Minimum Path Cost in a Grid,True,1.0,1.0,True,0,0.5219,0.8667
gemma3:12b,s2342_max_sum_of_a_pair_with_equal_sum_of_digits,Max Sum of a Pair With Equal Sum of Digits,True,1.0,1.0,True,0,0.5929,0.8856
gemma3:12b,s2318_number_of_distinct_roll_sequences,Number of Distinct Roll Sequences,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2352_equal_row_and_column_pairs,Equal Row and Column Pairs,True,1.0,1.0,True,0,0.5536,0.8751
gemma3:12b,s2316_count_unreachable_pairs_of_nodes_in_an_undirected_graph,Count Unreachable Pairs of Nodes in an Undirected Graph,True,1.0,1.0,True,0,0.3375,0.7841
gemma3:12b,s2364_count_number_of_bad_pairs,Count Number of Bad Pairs,True,0.0,1.0,True,3,0.2972,0.7859
gemma3:12b,s2385_amount_of_time_for_binary_tree_to_be_infected,Amount of Time for Binary Tree to Be Infected,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s2359_find_closest_node_to_given_two_nodes,Find Closest Node to Given Two Nodes,True,1.0,1.0,True,0,0.3856,0.8062
gemma3:12b,s2301_match_substring_after_replacement,Match Substring After Replacement,True,0.0,1.0,True,1,0.2777,0.7783
gemma3:12b,s2350_shortest_impossible_sequence_of_rolls,Shortest Impossible Sequence of Rolls,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2398_maximum_number_of_robots_within_budget,Maximum Number of Robots Within Budget,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2327_number_of_people_aware_of_a_secret,Number of People Aware of a Secret,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2337_move_pieces_to_obtain_a_string,Move Pieces to Obtain a String,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2321_maximum_score_of_spliced_array,Maximum Score Of Spliced Array,True,1.0,1.0,True,0,0.3106,0.801
gemma3:12b,s2366_minimum_replacements_to_sort_the_array,Minimum Replacements to Sort the Array,True,0.0,1.0,True,3,0.2717,0.8101
gemma3:12b,s2383_minimum_hours_of_training_to_win_a_competition,Minimum Hours of Training to Win a Competition,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2305_fair_distribution_of_cookies,Fair Distribution of Cookies,True,0.0,1.0,True,1,0.4693,0.8231
gemma3:12b,s2399_check_distances_between_same_letters,Check Distances Between Same Letters,True,1.0,1.0,True,0,0.4036,0.7872
gemma3:12b,s2326_spiral_matrix_iv,Spiral Matrix IV,False,0.0,0.0,False,4,0.0,0.0
gemma3:12b,s2380_time_needed_to_rearrange_a_binary_string,Time Needed to Rearrange a Binary String,True,1.0,1.0,True,0,0.2523,0.7487
gemma3:12b,s2391_minimum_amount_of_time_to_collect_garbage,Minimum Amount of Time to Collect Garbage,False,0.0,0.0,True,4,0.0,0.0
gemma3:12b,s2396_strictly_palindromic_number,Strictly Palindromic Number,True,1.0,1.0,True,0,0.3887,0.8171
gemma3:12b,s2367_number_of_arithmetic_triplets,Number of Arithmetic Triplets,True,1.0,1.0,True,0,0.62,0.9394
gemma3:12b,s2348_number_of_zero_filled_subarrays,Number of Zero-Filled Subarrays,True,1.0,1.0,True,0,0.5773,0.8503
gemma3:12b,s2386_find_the_k_sum_of_an_array,Find the K-Sum of an Array,True,1.0,1.0,True,0,0.3087,0.8435
