ID,Title,N_Samples,Pass_At_1_Attempt,Num_Passed,Compilable_Count,Compilable_Rate,First_Pass_Attempt,Avg_Code_BLEU,Avg_CodeBERT_F1,First_Pass_Code_BLEU,First_Pass_CodeBERT_F1
s0840_magic_squares_in_grid,Magic Squares In Grid,5,0,4,1,1.0000,1,0.3218,0.8258,0.3218,0.8258
s0874_walking_robot_simulation,Walking Robot Simulation,5,1,5,1,1.0000,0,0.2840,0.7720,0.2840,0.7720
s0832_flipping_an_image,Flipping an Image,5,1,5,1,1.0000,0,0.2795,0.7638,0.2795,0.7638
s0853_car_fleet,Car Fleet,5,1,5,1,1.0000,0,0.2874,0.7804,0.2874,0.7804
s0827_making_a_large_island,Making A Large Island,5,1,5,1,1.0000,0,0.3546,0.8239,0.3546,0.8239
s0821_shortest_distance_to_a_character,Shortest Distance to a Character,5,1,5,1,1.0000,0,0.3428,0.8314,0.3428,0.8314
s0878_nth_magical_number,Nth Magical Number,5,1,5,1,1.0000,0,0.4660,0.8427,0.4660,0.8427
s0879_profitable_schemes,Profitable Schemes,5,1,5,1,1.0000,0,0.3761,0.8154,0.3761,0.8154
s0831_masking_personal_information,Masking Personal Information,5,1,5,1,1.0000,0,0.3307,0.8129,0.3307,0.8129
s0849_maximize_distance_to_closest_person,Maximize Distance to Closest Person,5,1,5,1,1.0000,0,0.2767,0.7803,0.2767,0.7803
s0867_transpose_matrix,Transpose Matrix,5,1,5,1,1.0000,0,0.4848,0.8485,0.4848,0.8485
s0888_fair_candy_swap,Fair Candy Swap,5,1,5,1,1.0000,0,0.4027,0.8137,0.4027,0.8137
s0808_soup_servings,Soup Servings,5,1,5,1,1.0000,0,0.2980,0.7944,0.2980,0.7944
s0884_uncommon_words_from_two_sentences,Uncommon Words from Two Sentences,5,1,5,1,1.0000,0,0.7219,0.8782,0.7219,0.8782
s0837_new_21_game,New 21 Game,5,1,5,1,1.0000,0,0.6534,0.8360,0.6534,0.8360
s0890_find_and_replace_pattern,Find and Replace Pattern,5,1,5,1,1.0000,0,0.3472,0.7924,0.3472,0.7924
s0846_hand_of_straights,Hand of Straights,5,1,5,1,1.0000,0,0.3901,0.8399,0.3901,0.8399
s0820_short_encoding_of_words,Short Encoding of Words,5,1,5,1,1.0000,0,0.2691,0.7523,0.2691,0.7523
s0845_longest_mountain_in_array,Longest Mountain in Array,5,1,5,1,1.0000,0,0.3686,0.7822,0.3686,0.7822
s0862_shortest_subarray_with_sum_at_least_k,Shortest Subarray with Sum at Least K,5,1,5,1,1.0000,0,0.3971,0.8169,0.3971,0.8169
s0816_ambiguous_coordinates,Ambiguous Coordinates,5,1,5,1,1.0000,0,0.1868,0.7639,0.1868,0.7639
s0806_number_of_lines_to_write_string,Number of Lines To Write String,5,1,5,1,1.0000,0,0.3415,0.8236,0.3415,0.8236
s0803_bricks_falling_when_hit,Bricks Falling When Hit,5,0,4,0,0.0000,1,0.3207,0.7999,0.3207,0.7999
s0833_find_and_replace_in_string,Find And Replace in String,5,1,5,1,1.0000,0,0.4055,0.7903,0.4055,0.7903
s0810_chalkboard_xor_game,Chalkboard XOR Game,5,1,5,1,1.0000,0,0.5598,0.8098,0.5598,0.8098
s0892_surface_area_of_3d_shapes,Surface Area of 3D Shapes,5,1,4,1,1.0000,0,0.3080,0.8176,0.3080,0.8176
s0865_smallest_subtree_with_all_the_deepest_nodes,Smallest Subtree with all the Deepest Nodes,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0885_spiral_matrix_iii,Spiral Matrix III,5,1,5,1,1.0000,0,0.1944,0.7887,0.1944,0.7887
s0844_backspace_string_compare,Backspace String Compare,5,1,5,1,1.0000,0,0.3599,0.7512,0.3599,0.7512
s0838_push_dominoes,Push Dominoes,5,0,3,1,1.0000,1,0.2735,0.7707,0.2735,0.7707
